Date,Close,High,Low,Open,Volume
,V,V,V,V,V
2021-02-02,195.39463806152344,197.07267834846712,192.87758498880387,193.69732061116306,11305100
2021-02-03,194.18911743164062,196.26254520267852,193.82264537865393,195.83822695469144,13458600
2021-02-04,201.79815673828125,202.21283644859724,195.86717737263143,196.0021910824309,14534800
2021-02-05,201.33522033691406,202.6467881720429,201.22913710335996,202.502121190621,10284000
2021-02-08,199.52220153808594,203.1482945536411,198.57710556615228,202.52144833779946,8637100
2021-02-09,199.16537475585938,200.2358458141896,196.44579406671068,198.43243060198887,7619400
2021-02-10,199.08824157714844,200.5637538954156,198.60604762437114,200.5637538954156,8467600
2021-02-11,203.47337341308594,204.37163954667145,200.12175069472468,200.25697402897103,8411100
2021-02-12,202.79722595214844,203.92730966068325,200.59499454011618,202.2176890429448,6911000
2021-02-16,200.8074951171875,203.8500418542577,200.27627013261116,203.4733472759427,9652700
2021-02-17,200.43080139160156,201.1745370067033,198.06438596708097,198.25756002940662,8373200
2021-02-18,202.20803833007812,202.54608924998425,197.9678036084602,198.8564160736431,7328600
2021-02-19,197.74562072753906,202.38187141269577,196.8087111515252,202.19835091496844,15011500
2021-02-22,201.2131805419922,203.46367973718495,196.1809129503787,196.60590473018314,8337700
2021-02-23,204.87388610839844,206.61248221022976,199.50356739025912,200.32456087012616,10571700
2021-02-24,211.94415283203125,213.0066322992942,204.08184898899464,205.11535308335377,12039000
2021-02-25,206.4579620361328,212.9293899452902,205.32787811778684,211.80895957320342,11404300
2021-02-26,205.14431762695312,207.86812044202136,203.55061324842472,206.74769028809675,11730000
2021-03-01,209.23965454101562,210.36973812669513,207.4624150905111,207.63628203966485,6982000
2021-03-02,208.40902709960938,210.4953276639547,207.49143922450907,209.55843269885324,6155200
2021-03-03,207.52044677734375,209.78061466983357,205.59832987113427,207.81020055465865,6484600
2021-03-04,204.28469848632812,209.61638836076278,201.55124188692972,208.60220605892792,10658900
2021-03-05,208.061279296875,208.72774226626498,202.47846550034743,206.43858492728626,7582000
2021-03-08,212.75550842285156,218.41559552064547,208.4476545273006,209.5777382902258,14750400
2021-03-09,212.84242248535156,217.32412836522045,212.67822380139722,214.48442406313052,9228600
2021-03-10,215.5565643310547,216.54177120643507,211.91517357444465,213.19014891178824,7822900
2021-03-11,218.43492126464844,220.4439641497202,216.17475354578187,216.87019203439277,10053400
2021-03-12,216.70594787597656,218.81156999169545,215.79801366525933,217.59456026099656,8172400
2021-03-15,215.65316772460938,219.34284109688866,214.17536471902733,216.58040915567736,9306100
2021-03-16,217.03439331054688,217.88437697074036,214.71627481323117,216.0781764310672,8949300
2021-03-17,215.41172790527344,218.52187952181342,214.19470308422103,217.3724737411479,8675600
2021-03-18,213.1322021484375,214.92874896028613,212.0890445088251,213.87592303754474,9321800
2021-03-19,199.84161376953125,212.65891269059335,199.8223066797889,211.6447304261357,32209700
2021-03-22,200.9040985107422,205.04773905770205,199.19447777651658,199.50356807934833,11371600
2021-03-23,201.0489959716797,202.7972605419475,200.42117649482256,201.91830148375686,8820700
2021-03-24,200.97171020507812,203.93696965616294,200.83647214884832,201.62850496726477,10101600
2021-03-25,200.8751220703125,201.69613028689184,198.75983137853186,200.58535359750587,8390800
2021-03-26,206.24542236328125,206.40962104428883,200.61431105855362,201.1455507548931,7399900
2021-03-29,207.19198608398438,207.9453752050701,203.91763652288563,205.20226534172033,7792300
2021-03-30,204.6710205078125,206.84426170369258,204.19774630206908,205.74315342064276,5498000
2021-03-31,204.50685119628906,206.8056624853712,204.33299895000752,205.29888406464877,13180000
2021-04-01,209.4618377685547,210.31182135003775,205.05740418857258,206.48690997160054,6138400
2021-04-05,211.5675048828125,212.98735742103176,209.89652747799107,211.14252774046417,10440500
2021-04-06,211.1907501220703,211.9151638747025,207.99367311857137,210.19588974751431,7828100
2021-04-07,211.78961181640625,213.49921768506428,211.18109953942601,211.64472022090652,5614300
2021-04-08,213.17083740234375,215.2185238246257,210.66919854483788,212.46574541008545,11042000
2021-04-09,214.92874145507812,215.00601402622922,212.02141807618253,213.46059207967926,5724900
2021-04-12,213.91455078125,214.33954253668995,211.74130954494294,212.72651636544137,6315200
2021-04-13,213.4799346923828,214.05945692508695,212.70722364387322,213.46061286315478,4764000
2021-04-14,214.40716552734375,215.48896683690455,212.5623362290828,213.46060227743516,4972600
2021-04-15,218.56045532226562,219.8644059598118,216.22301540474282,216.2519907755118,8698100
2021-04-16,218.68605041503906,220.02863012302393,218.05821625311526,219.42011778992904,6829400
2021-04-19,218.08717346191406,219.81611591128106,217.4014033470982,218.0485445457109,6541600
2021-04-20,215.66282653808594,217.6911911677323,214.25264252856866,217.11165420547988,5799100
2021-04-21,219.69056701660156,220.09623699734254,215.26681141008714,215.69180321988358,9490600
2021-04-22,219.8064727783203,223.05183246959797,219.14966326586895,219.5456796823296,7303000
2021-04-23,222.153564453125,223.9114823418467,219.94169414404618,220.8109848053073,5345200
2021-04-26,222.48196411132812,225.00292474063616,221.68994601558722,222.89730235647735,5650000
2021-04-27,222.06663513183594,223.27399144297215,221.17802265542804,223.14842167037838,6642100
2021-04-28,225.48587036132812,228.20967337798768,222.80071100151812,223.07115764651795,10111400
2021-04-29,228.77951049804688,229.3976762782779,225.1960708385187,227.2051133088282,7411400
2021-04-30,225.59214782714844,227.8812910640679,224.36546948081798,227.29211523327282,10260200
2021-05-03,224.67453002929688,227.69775505913253,223.49614904749293,226.06540690868755,8174400
2021-05-04,224.11428833007812,224.46200750868346,222.37569243705144,223.69896486747913,5884500
2021-05-05,221.39051818847656,225.87222421866244,220.8592784647855,225.87222421866244,6523200
2021-05-06,223.4285125732422,223.67963735320185,220.85925508211875,221.79616465791764,6124100
2021-05-07,224.20123291015625,225.26371235959957,222.83934619180678,224.4137288000449,4528700
2021-05-10,218.26101684570312,224.08530174209628,217.47865241756585,223.69895366886914,9627400
2021-05-11,217.7877655029297,218.69569984371503,214.46511844228408,216.10713488237852,7633300
2021-05-12,213.10324096679688,217.3241542690305,212.79415065081582,216.0008963570506,7721300
2021-05-13,216.42103576660156,217.54307869839857,213.6642588929064,214.26397276676724,6650100
2021-05-14,219.51634216308594,220.06768865078772,217.56241626075885,218.43298432083424,4777200
2021-05-17,219.03269958496094,219.72914813369243,217.94934173566472,218.78119525591453,5534200
2021-05-18,218.19122314453125,221.6831196459093,218.05578861685126,220.91896840336608,6900000
2021-05-19,217.24319458007812,217.4946988902764,214.5347854001666,215.47305588134643,9311900
2021-05-20,219.03269958496094,220.15475722009987,217.87195692362303,218.0654115739054,7478600
2021-05-21,219.35191345214844,221.8088185849782,219.13910890210283,219.45831572717123,5603900
2021-05-24,221.81851196289062,222.5826630600206,220.18379272866184,220.49331724255737,4040100
2021-05-25,221.52830505371094,222.66003025870242,220.947926341572,222.37950846929922,4689100
2021-05-26,219.64208984375,221.84750526883045,218.97465877254135,220.59002793637217,4295600
2021-05-27,219.43898010253906,220.94794718487734,218.96500361759118,220.309533493228,5969600
2021-05-28,219.86459350585938,221.92490717312745,219.71949143149274,220.14510056753548,5779700
2021-06-01,219.2165069580078,222.55364795308702,218.87795021894604,221.9345841591003,5091500
2021-06-02,222.14739990234375,225.48454106537628,221.29618160790454,221.72179075512415,9081100
2021-06-03,220.6480712890625,222.85348679845356,220.31919690389665,221.50895703825773,6382400
2021-06-04,222.61166381835938,223.1533427467655,221.24778417099432,221.84751277856725,5085700
2021-06-07,223.7530517578125,227.0031250436045,222.55360940735886,225.233001114608,5421300
2021-06-08,224.45921325683594,225.2330467118632,222.6310392836524,224.5559332139359,4170600
2021-06-09,224.71067810058594,227.1675979426462,224.5268910148046,224.89446518636728,4659000
2021-06-10,226.29701232910156,226.59686923123522,224.5365559399505,225.47482642964516,4452500
2021-06-11,227.2739715576172,227.73826561707958,226.06486168219493,226.72261036979646,5378300
2021-06-14,226.42279052734375,227.52549832375757,223.99490281373943,227.02250440058714,5805800
2021-06-15,225.35879516601562,227.1192667313895,225.01057083218598,226.77104239755985,7093800
2021-06-16,222.08935546875,226.51952201426573,220.54168859231427,225.97784303540678,8905400
2021-06-17,224.55592346191406,225.70699864682692,221.71210888463187,221.71210888463187,6876700
2021-06-18,222.87283325195312,224.5849223975285,221.72175816199353,222.91151827799283,8840000
2021-06-21,226.6549530029297,227.3223693888994,222.86317069044188,223.87882613987094,7298400
2021-06-22,228.2122344970703,228.36700410835866,225.6102423605421,226.63556520595304,8858400
2021-06-23,227.00315856933594,228.2026010969333,226.28737483933702,227.7479745204852,6814700
2021-06-24,228.51211547851562,230.4563589858693,227.70926469179383,229.24724902266954,4611500
2021-06-25,229.5568084716797,230.67885139900264,228.5895204159446,228.66689047191633,7825200
2021-06-28,226.43243408203125,230.57242535301853,224.27538607281025,230.21453353237746,9301700
2021-06-29,228.23165893554688,228.7830203209865,226.4905371389577,226.8968111912013,11897700
2021-06-30,226.17132568359375,228.6669161592457,226.17132568359375,227.4191209214197,7797100
2021-07-01,227.457763671875,228.52178635877848,226.39375574461482,226.5388430384456,5329600
2021-07-02,230.8238983154297,230.9689855852684,228.10582188975147,228.11548945452708,4383700
2021-07-06,231.76222229003906,232.73917790540702,229.45040444485315,231.6654875813457,8048700
2021-07-07,232.14910888671875,233.15508186431836,230.5047223173664,232.40059844120793,4366100
2021-07-08,228.87001037597656,229.31496934264837,226.87739949142542,229.21823464043698,6388000
2021-07-09,230.6692352294922,231.61717360263117,229.6535795927337,230.94974233391423,5615900
2021-07-12,230.08880615234375,230.70786992047428,229.5084421720214,229.80829910913462,7010700
2021-07-13,234.4222412109375,234.5479786082154,230.4563547015139,230.4563547015139,8079200
2021-07-14,237.9431915283203,238.73636005028965,234.87689019650162,235.26379951068506,8693400
2021-07-15,240.41941833496094,240.6612403178447,237.28540012331612,237.28540012331612,10135100
2021-07-16,240.00352478027344,242.26699020942834,239.42316076123396,241.8123636100424,8674500
2021-07-19,232.54576110839844,236.45359896574897,231.08514647140558,236.00865465646456,11474600
2021-07-20,234.7608184814453,236.2214329559016,231.67516708664104,232.76820736069453,7072300
2021-07-21,235.68942260742188,238.8234266134814,234.3739101975805,235.33151597292309,11241400
2021-07-22,236.15370178222656,237.3241268062925,235.1960813079908,235.8054774970176,10293600
2021-07-23,240.8740692138672,241.83167491680092,238.6879888212512,238.6879888212512,6766000
2021-07-26,242.06381225585938,242.17021452196195,239.59722500322172,241.0578392705974,4879000
2021-07-27,242.72158813476562,244.40467468874996,240.1002457324722,241.03851634042587,7038300
2021-07-28,238.86212158203125,243.2729528790506,237.8658160372942,241.8703881106033,9036500
2021-07-29,239.81004333496094,242.1895783503443,239.01687483626233,239.99383041968142,7495300
2021-07-30,238.330078125,240.33237127213454,237.95283641375414,239.12326133100774,5804700
2021-08-02,231.93634033203125,239.72301251900097,230.57246056345463,238.18502797638232,9989500
2021-08-03,229.33433532714844,233.49367716784838,226.37443606086867,232.75854351493328,9839000
2021-08-04,228.9280548095703,229.77927299355568,227.36105293418262,229.24726162856481,8171800
2021-08-05,232.3522491455078,232.39093416996124,228.695887049831,228.87000655897896,5337500
2021-08-06,233.50335693359375,234.66411453834846,232.01373965497274,232.14915940757464,4509700
